rank,first_name,second_name,w_points,w_goals,w_assists,w_goal_involvements,w_xgi,w_bonus,w_minutes,seasons,player,position,latest_team,latest_season,gi_per90,rating,ranking_method
32,Nathan,Collins,111.53,1.19,2.88,4.06,3.32,7.66,2837.0,5,Collins,DEF,Brentford,2025-26,0.13,111.53,"recency-weighted FPL points, decay 8**(-age/3)"
33,Alexis,Mac Allister,110.62,3.67,4.83,8.5,6.98,9.42,2567.41,7,Mac Allister,MID,Liverpool,2025-26,0.3,110.62,"recency-weighted FPL points, decay 8**(-age/3)"
34,Emiliano,Martínez Romero,110.56,0.0,0.5,0.5,0.06,10.31,2789.31,4,Martinez,GKP,Chelsea,2025-26,0.02,110.56,"recency-weighted FPL points, decay 8**(-age/3)"
35,Harvey,Barnes,109.59,7.57,2.79,10.36,8.92,8.71,1795.79,9,Barnes,MID,Newcastle,2025-26,0.52,109.59,"recency-weighted FPL points, decay 8**(-age/3)"
36,Dominic,Calvert-Lewin,107.99,9.29,2.14,11.43,12.32,12.78,2220.9,10,Calvert-Lewin,FWD,Leeds,2025-26,0.46,107.99,"recency-weighted FPL points, decay 8**(-age/3)"
37,Marcus,Tavernier,107.25,4.94,4.5,9.44,10.42,9.38,2222.5,4,Tavernier,MID,Bournemouth,2025-26,0.38,107.25,"recency-weighted FPL points, decay 8**(-age/3)"
38,Martin,Ødegaard,107.22,3.42,7.78,11.2,8.65,10.7,1945.14,6,Ødegaard,MID,Arsenal,2025-26,0.52,107.22,"recency-weighted FPL points, decay 8**(-age/3)"
39,Carlos Henrique,Casimiro,107.19,5.12,2.56,7.69,6.31,11.38,2040.0,4,Casemiro,MID,Man Utd,2025-26,0.34,107.19,"recency-weighted FPL points, decay 8**(-age/3)"
40,Dango,Ouattara,105.81,5.44,5.44,10.88,9.74,10.38,1864.19,4,O.Dango,MID,Brentford,2025-26,0.53,105.81,"recency-weighted FPL points, decay 8**(-age/3)"
41,Kevin,Schade,105.69,7.0,3.81,10.81,10.04,5.75,2028.31,4,Schade,MID,Brentford,2025-26,0.48,105.69,"recency-weighted FPL points, decay 8**(-age/3)"
42,Maxence,Lacroix,105.5,0.75,1.5,2.25,2.77,7.75,2321.5,2,Lacroix,DEF,Chelsea,2025-26,0.09,105.5,"recency-weighted FPL points, decay 8**(-age/3)"
43,Pedro,Lomba Neto,104.63,3.88,6.68,10.56,8.73,7.91,2190.98,7,Neto,MID,Chelsea,2025-26,0.43,104.63,"recency-weighted FPL points, decay 8**(-age/3)"
44,Jan Paul,van Hecke,103.75,1.75,1.75,3.5,3.45,6.12,2659.19,4,Van Hecke,DEF,Tottenham,2025-26,0.12,103.75,"recency-weighted FPL points, decay 8**(-age/3)"
45,Jurriën,Timber,103.0,1.75,3.75,5.5,3.76,6.75,1838.5,3,J.Timber,DEF,Arsenal,2025-26,0.27,103.0,"recency-weighted FPL points, decay 8**(-age/3)"
46,James,Garner,102.45,1.12,4.06,5.19,5.52,6.88,2528.94,7,Garner,MID,Everton,2025-26,0.18,102.45,"recency-weighted FPL points, decay 8**(-age/3)"
47,Trevoh,Chalobah,102.28,2.47,0.78,3.25,2.01,7.16,2146.16,6,Chalobah,DEF,Chelsea,2025-26,0.14,102.28,"recency-weighted FPL points, decay 8**(-age/3)"
48,Alexander,Isak,101.0,10.5,2.62,13.12,10.77,15.0,1413.12,4,Isak,FWD,Liverpool,2025-26,0.84,101.0,"recency-weighted FPL points, decay 8**(-age/3)"
49,Ryan,Gravenberch,100.62,2.62,3.5,6.12,3.66,9.12,2424.25,3,Gravenberch,MID,Liverpool,2025-26,0.23,100.62,"recency-weighted FPL points, decay 8**(-age/3)"
50,Dan,Burn,99.98,1.11,2.03,3.14,2.26,5.85,2596.48,8,Burn,DEF,Newcastle,2025-26,0.11,99.98,"recency-weighted FPL points, decay 8**(-age/3)"
51,Neco,Williams,99.91,1.31,2.47,3.78,4.39,9.84,2575.11,7,N.Williams,DEF,Nott'm Forest,2025-26,0.13,99.91,"recency-weighted FPL points, decay 8**(-age/3)"
52,Joachim,Andersen,99.7,0.33,1.02,1.34,2.69,6.86,2843.83,6,Andersen,DEF,Fulham,2025-26,0.04,99.7,"recency-weighted FPL points, decay 8**(-age/3)"
53,Diogo,Dalot Teixeira,99.5,0.81,4.5,5.31,4.08,9.56,2538.75,4,Dalot,DEF,Man United,2025-26,0.19,99.5,"recency-weighted FPL points, decay 8**(-age/3)"
54,Bart,Verbruggen,99.25,0.0,0.25,0.25,0.03,5.38,2756.25,3,Verbruggen,GKP,Brighton,2025-26,0.01,99.25,"recency-weighted FPL points, decay 8**(-age/3)"
55,Jacob,Murphy,99.05,4.19,5.55,9.74,6.97,5.99,1691.05,9,J.Murphy,MID,Newcastle,2025-26,0.52,99.05,"recency-weighted FPL points, decay 8**(-age/3)"
56,Ezri,Konsa Ngoyo,98.8,0.73,0.64,1.37,1.96,5.53,2986.0,7,Konsa,DEF,Arsenal,2025-26,0.04,98.8,"recency-weighted FPL points, decay 8**(-age/3)"
57,Nick,Pope,98.38,0.0,0.5,0.5,0.08,3.9,2388.99,10,Pope,GKP,Newcastle,2025-26,0.02,98.38,"recency-weighted FPL points, decay 8**(-age/3)"
58,John,McGinn,97.38,3.73,4.2,7.92,6.61,5.0,2332.16,7,McGinn,MID,Aston Villa,2025-26,0.31,97.38,"recency-weighted FPL points, decay 8**(-age/3)"
59,Chris,Wood,96.96,8.95,0.94,9.89,7.83,16.21,1622.35,9,Wood,FWD,Nott'm Forest,2025-26,0.55,96.96,"recency-weighted FPL points, decay 8**(-age/3)"
60,Mikkel,Damsgaard,96.94,2.5,5.0,7.5,6.94,7.0,1915.0,4,Damsgaard,MID,Brentford,2025-26,0.35,96.94,"recency-weighted FPL points, decay 8**(-age/3)"
61,Ismaïla,Sarr,96.59,6.54,2.8,9.34,10.46,8.05,1779.3,3,Sarr,MID,Crystal Palace,2025-26,0.47,96.59,"recency-weighted FPL points, decay 8**(-age/3)"
62,Vitalii,Mykolenko,96.38,0.53,1.47,2.0,2.43,4.72,2757.38,5,Mykolenko,DEF,Everton,2025-26,0.07,96.38,"recency-weighted FPL points, decay 8**(-age/3)"
63,Nikola,Milenković,95.75,1.25,1.0,2.25,1.95,1.5,2520.0,2,Milenković,DEF,Nott'm Forest,2025-26,0.08,95.75,"recency-weighted FPL points, decay 8**(-age/3)"
64,Moisés,Caicedo Corozo,94.94,1.94,1.94,3.88,3.39,6.75,2790.0,4,Caicedo,MID,Chelsea,2025-26,0.12,94.94,"recency-weighted FPL points, decay 8**(-age/3)"
65,Richarlison,de Andrade,94.83,8.52,3.41,11.93,7.8,10.53,1511.98,9,Richarlison,FWD,Tottenham,2025-26,0.71,94.83,"recency-weighted FPL points, decay 8**(-age/3)"
66,Jérémy,Doku,94.25,3.62,6.75,10.38,6.7,9.88,1461.12,3,Doku,MID,Man City,2025-26,0.64,94.25,"recency-weighted FPL points, decay 8**(-age/3)"
67,Matz,Sels,94.25,0.0,0.25,0.25,0.11,4.38,2368.5,3,Sels,GKP,Nott'm Forest,2025-26,0.01,94.25,"recency-weighted FPL points, decay 8**(-age/3)"
68,Joško,Gvardiol,93.12,2.75,1.25,4.0,4.01,7.75,1795.38,3,Gvardiol,DEF,Man City,2025-26,0.2,93.12,"recency-weighted FPL points, decay 8**(-age/3)"
69,Igor Thiago,Nascimento Rodrigues,92.75,11.0,0.5,11.5,11.26,11.0,1682.75,2,Thiago,FWD,Brentford,2025-26,0.62,92.75,"recency-weighted FPL points, decay 8**(-age/3)"
70,Iliman,Ndiaye,92.52,5.25,1.5,6.75,7.44,8.75,1997.17,4,Ndiaye,MID,Man City,2025-26,0.3,92.52,"recency-weighted FPL points, decay 8**(-age/3)"
71,Keane,Lewis-Potter,91.0,2.12,3.56,5.69,5.79,2.62,1951.06,4,Lewis-Potter,DEF,Brentford,2025-26,0.26,91.0,"recency-weighted FPL points, decay 8**(-age/3)"
72,Brennan,Johnson,90.75,4.88,3.81,8.69,7.55,6.31,1870.5,4,Johnson,MID,Everton,2025-26,0.42,90.75,"recency-weighted FPL points, decay 8**(-age/3)"
73,Lucas,Digne,90.52,0.2,5.6,5.8,3.87,5.87,2055.27,8,Digne,DEF,Aston Villa,2025-26,0.25,90.52,"recency-weighted FPL points, decay 8**(-age/3)"
74,Chris,Richards,89.56,0.88,0.38,1.25,2.62,3.5,2181.81,4,Richards,DEF,Crystal Palace,2025-26,0.05,89.56,"recency-weighted FPL points, decay 8**(-age/3)"
75,Francisco Evanilson,de Lima Barbosa,89.5,5.5,4.75,10.25,9.61,8.0,1949.75,2,Evanilson,FWD,Bournemouth,2025-26,0.47,89.5,"recency-weighted FPL points, decay 8**(-age/3)"
76,Matty,Cash,89.06,2.0,2.12,4.12,3.4,4.69,2406.06,4,Cash,DEF,Aston Villa,2025-26,0.15,89.06,"recency-weighted FPL points, decay 8**(-age/3)"
