id,name,full_name,team,pos,price,status,chance_next,news,minutes,starts,total_points,points_per_game,form,selected_by_pct,ep_next,xG,xA,xGI,xGC,xG_per90,xA_per90,xGI_per90,xGC_per90,goals,assists,goals_minus_xG,assists_minus_xA,clean_sheets,goals_conceded,goals_conceded_per90,clean_sheets_per90,saves,saves_per90,own_goals,pens_saved,pens_missed,yellow,red,tackles,cbi,recoveries,defensive_contribution,def_contrib_per90,influence,creativity,threat,ict_index,bonus,bps
84,Collins,Nathan Collins,Brentford,DEF,5.5,a,,,180,2,9,4.5,4.5,2.1,4.5,0.51,0.05,0.56,2.03,0.26,0.02,0.28,1.02,0,0,-0.51,-0.05,1,1,0.5,0.5,0,0.0,0,0,0,1,0,2,14,11,16,8.0,11.6,21.5,17.0,5.0,0,35
605,Yalcouyé,Malick Yalcouyé,Brighton,MID,4.5,a,,,77,1,9,4.5,4.5,0.4,4.5,0.7,0.17,0.87,2.83,0.82,0.2,1.02,3.31,1,0,0.3,-0.17,0,3,3.51,0.0,0,0.0,0,0,0,0,0,3,2,2,7,8.18,0.6,2.7,0.0,0.3,1,42
268,King,Josh King,Fulham,MID,5.5,a,,,180,2,9,4.5,4.5,0.6,4.5,0.64,0.07,0.71,4.26,0.32,0.04,0.36,2.13,1,0,0.36,-0.07,0,4,2.0,0.0,0,0.0,0,0,0,0,0,4,3,5,12,6.0,41.6,15.6,41.0,9.8,0,42
286,Belloumi,Mohamed Belloumi,Hull City,MID,5.0,a,,,172,2,9,4.5,4.5,0.7,4.5,0.17,0.05,0.22,2.94,0.09,0.03,0.12,1.54,0,1,-0.17,0.95,2,0,0.0,1.05,0,0.0,0,0,0,0,0,6,6,8,20,10.47,10.6,2.2,7.0,2.0,0,31
346,Calvert-Lewin,Dominic Calvert-Lewin,Leeds,FWD,6.0,a,,,180,2,9,4.5,4.5,27.4,4.5,1.05,0.02,1.07,2.33,0.52,0.01,0.53,1.16,1,0,-0.05,-0.02,1,1,0.5,0.5,0,0.0,0,0,0,1,0,0,3,3,6,3.0,0.0,0.8,11.0,0.7,2,29
445,Thiaw,Malick Thiaw,Newcastle,DEF,5.0,a,,,180,2,9,4.5,4.5,1.9,4.5,0.0,0.02,0.02,4.1,0.0,0.01,0.01,2.05,0,0,0.0,-0.02,1,2,1.0,0.5,0,0.0,0,0,0,0,0,0,18,3,18,9.0,37.8,0.2,0.0,3.8,0,25
460,Willock,Joe Willock,Newcastle,MID,5.0,a,,,104,1,9,4.5,4.5,0.3,4.5,0.16,0.19,0.35,2.24,0.14,0.16,0.3,1.94,1,0,0.84,-0.19,1,1,0.87,0.87,0,0.0,0,0,0,0,0,2,1,2,5,4.33,38.4,13.9,9.0,6.1,0,28
533,Mukiele,Nordi Mukiele,Sunderland,DEF,5.5,a,100,,90,1,9,9.0,4.5,2.4,4.5,0.0,0.01,0.01,0.95,0.0,0.01,0.01,0.95,0,0,0.0,-0.01,1,0,0.0,1.0,0,0.0,0,0,0,0,0,2,17,4,19,19.0,0.0,0.0,0.0,0.0,1,28
553,Isidor,Wilson Isidor,Sunderland,FWD,5.5,a,,,49,0,9,4.5,4.5,0.9,4.5,1.39,0.0,1.39,0.47,2.55,0.0,2.55,0.86,1,0,-0.39,0.0,0,1,1.84,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.0,0.0,3,32
156,Neto,Pedro Lomba Neto,Chelsea,MID,6.5,a,,,81,1,8,4.0,4.0,1.2,4.0,0.44,0.4,0.84,1.48,0.49,0.44,0.93,1.64,1,0,0.56,-0.4,0,2,2.22,0.0,0,0.0,0,0,0,0,0,1,3,4,8,8.89,5.2,4.1,4.0,1.3,0,41
161,Lavia,Roméo Lavia,Chelsea,MID,5.0,a,,,131,2,8,4.0,4.0,0.1,4.0,0.75,0.03,0.78,2.31,0.52,0.02,0.54,1.59,1,0,0.25,-0.03,0,4,2.75,0.0,0,0.0,0,0,0,1,0,4,5,7,16,10.99,13.6,21.9,33.0,6.9,0,40
